cedula,constante,BM2,BM2orig,rmo_mayor_venc_dispromax,rmo_promed_venc_dispromax,Hombre,DR_nro_cargas,Edad,salario,Primaria,Secundaria,Universitaria,Sindato_educ,policia,cabo2do,cabo1ero,sgto_y_subof,oficiales,pensionadojubilado,otrasprofesiones,casado,divorciado,separado,soltero,union_libre,viudo,consumo,vivienda,micro,rmo_monto_entregado,rmo_plazo,producto,SaldosHoyXVCONS,SaldosHoyVencCONS,SaldosHoyCastCONS,SaldosHoyDemCONS,SaldosHoyXVVIV,SaldosHoyVencVIV,SaldosHoyCastVIV,SaldosHoyDemVIV,SaldosHoyXVMIC,SaldosHoyVencMIC,SaldosHoyCastMIC,SaldosHoyDemMIC,SaldosHoyXVTC,SaldosHoyVencTC,SaldosHoyCastTC,SaldosHoyDemTC,SaldosHoyXVSS,SaldosHoyVencSS,SaldosHoyCastSS,SaldosHoyDemSS,NroTCActivasHoy,NroCredConsumoHoy,SaldosFinancieroHoy,SaldosFinanciero3M,CuotasFinancieroHoy,CuotasTCHoy,CuotasSSHoy,NroOpFinancieroHoy,NroOpFinanciero12M,EstCartBancosAlDia,EstCartBancos.30castodem,EstCartBancosHis.30castodem,EstCartCoopRegHoy,EstCartCoopReg.30castodem,EstCartCoopregHis.30castodem,EstCartCoopNoRegHoy,EstCartCoopNoReg.30castodem,EstCartHisCoopNoReg.30ocastodem,EstCartOtrIFISHoy,EstCartOtrIFIS.30castodem,EstCartHisOtrIFIS.30castodem,EstCartSSAlDia,EstCartSSMora.30castodem,EstCartHisSS.30castodem,EstCartBancosAlDiatiene,EstCartBancos.30castodemtiene,EstCartBancosHis.30castodemtiene,EstCartCoopRegHoytiene,EstCartCoopReg.30castodemtiene,EstCartCoopregHis.30castodemtiene,EstCartCoopNoRegHoytiene,EstCartCoopNoReg.30castodemtiene,EstCartHisCoopNoReg.30ocastodemtiene,EstCartOtrIFISHoytiene,EstCartOtrIFIS.30castodemtiene,EstCartHisOtrIFIS.30castodemtiene,EstCartSSAlDiatiene,EstCartSSMora.30castodemtiene,EstCartHisSS.30castodemtiene,Tieneretrasohoy,tieneretrasohis,tieneretraso,tienessaldovencidohoy,salariomas1000,decil,PRE_1,saldo_tot31122012,saldo_ven31122012,saldoAlCorte
A11,1,1,1,3,1,1,3,44,666.72,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,35000,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil1,0.50021,0,0,35000
A12,1,1,1,14,6,1,1,38,567.26,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil3,0.85278,0,0,5000
A13,1,1,1,10,3,0,0,24,150.76,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,500,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil10,0.93273,0,0,500
A14,1,1,1,6,1,1,3,27,70,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,250,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.76,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil2,0.8215,0,0,250
A15,1,1,1,14,5,1,1,26,616.09,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,730,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil9,0.92074,0,0,730
A16,1,1,1,14,3,1,2,32,183.56,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,720,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,decil3,0.83867,0,0,720
A17,1,1,1,9,3,1,1,27,617.49,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1800,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574.06,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil6,0.89873,0,0,1800
A18,1,1,1,9,5,1,3,30,628.1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5700,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil3,0.84371,0,0,5700
A19,1,1,1,14,7,1,0,32,-337.62,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,250,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475.46,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,decil2,0.8379,0,0,250
A20,1,1,1,8,6,1,1,28,703.09,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.89079,0,0,5000
A21,1,1,1,11,1,1,0,27,627.4,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15761.03,0,0,242.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil6,0.90208,0,0,5000
A22,1,1,1,9,5,1,1,26,614.8,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,600,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.99,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,decil2,0.80789,0,0,600
A23,1,1,1,14,6,1,3,29,320.42,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,325.6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.93,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,decil2,0.80878,0,0,325.6
A24,1,1,1,8,6,1,1,24,344.61,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,290,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil9,0.92534,0,0,290
A25,1,1,1,14,5,1,0,36,625.1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,500,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91817,0,0,500
A26,1,1,1,9,4,1,0,25,266.04,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,328.89,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1882.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91922,0,0,328.89
A27,1,1,1,7,0,1,3,34,628.8,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,200,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348.26,0,0,229,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil5,0.89172,0,0,200
A28,1,1,1,8,6,1,1,28,703.09,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,300,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil9,0.92561,0,0,300
A29,1,1,1,9,5,1,3,28,781.21,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1700,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil8,0.91356,0,0,1700
A30,1,1,1,10,5,1,0,29,485.66,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.07,0,0,173.01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,decil4,0.87732,0,0,5000
A31,1,1,1,9,5,1,0,32,504.11,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,5000,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,decil1,0.75694,0,0,5000
A32,1,1,1,0,0,0,1,36,1106.43,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,34300,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,decil1,0.72408,0,0,34300
