Codigo,CANTON,PET2017,VAB2017_NP,VAB2017,Inversion_Pub,Inversion_Priv,PEA2017,POB2017
101,Cuenca,439892,4392835893.29121,4392835893.29121,84341013.06642,32598562.84,294069.870904963,603269
102,Girón,9287,24249679.8475349,24249679.8475349,147026.45,55205,5454.26984126984,13134
103,Gualaceo,32289,86428228.8732487,86428228.8732487,3762743.58924,547100,22243.5333333333,47855
104,Nabón,11261,24631368.1474492,24631368.1474492,1137157.93704,840,8711.33962264151,17145
105,Paute,19824,70149102.9086368,70149102.9086368,1268302.7511,25135,13748.9032258065,28500
106,Pucará,6779,11837136.4507378,11837136.4507378,69191.73,629000,6116.39097744361,10603
107,San Fernando,3009,8069751.41070953,8069751.41070953,291349.73284,1600,2364.21428571429,4179
108,Santa Isabel,14206,44074283.5071931,44074283.5071931,670798.82306,113850,12914.5454545455,20467
109,Sigsig,19683,47518095.7814,47518095.7814,1796621.2101,104232,16318.3846153846,29864
110,Oña,2818,5989750.65619522,5989750.65619522,104172.9076,8550,,4020
111,Chordeleg,10026,22239108.9304083,22239108.9304083,554963.3654,200800,7535.88235294118,14568
112,El Pan,2356,7839121.60522616,7839121.60522616,660195.43,840,,3129
113,Sevilla De Oro,4788,217887198.828498,217887198.828498,1074229.73,2440,2641.65517241379,6678
114,Guachapala,2713,7815406.49934466,7815406.49934466,477215.5021,400,,3780
115,Camilo Ponce Enríquez,21833,42355855.1866691,42355855.1866691,545110.58208,275715,15084.6181818182,31668
201,Guaranda,66554,399461528.245537,399461528.245537,6872877.61092,42340,50471.0913884007,105153
202,Chillanes,11300,29140847.1225745,29140847.1225745,140593.381,1,8710.9785202864,17350
203,Chimbo,11742,32925770.0925035,32925770.0925035,536753.162,1600,9256.92063492063,17185
204,Echeandía,9104,33187390.685067,33187390.685067,206940.47,1,6414.18181818182,13692
205,San Miguel,19933,52244771.0140708,52244771.0140708,4490522.9732,2000,13490.7756653992,28989
206,Caluma,10488,65970382.3567862,65970382.3567862,240874.94,800,6992,15610
207,Las Naves,4639,21746931.8432829,21746931.8432829,159027.79,1,3428.82608695652,7115
301,Azogues,58129,420518448.067589,420518448.067589,8413298.80059,524206,38385.6906565657,82497
302,Biblián,16401,73876234.6449085,73876234.6449085,2288646.9012,3500,15717.625,23253
303,Cañar,44167,192390382.807953,192390382.807953,2824398.44893,80478,32019.2003395586,66996
304,La Troncal,46675,348740278.563433,348740278.563433,2529773.73177,1028805,28947.7951635846,70401
305,El Tambo,7602,56500675.7113796,56500675.7113796,1446409.43935,6600,6120.25423728814,11673
306,Déleg,4882,16720708.3631081,16720708.3631081,1528495.40639,800,2557.2380952381,6695
307,Suscal,4047,15269623.9484269,15269623.9484269,111246.8923,1690,3179.78571428571,6128
401,Tulcán,70543,418863924.047073,418863924.047073,8620525.7103,34020,47130.2091301666,98868
402,Bolívar,10917,42550346.1326089,42550346.1326089,1862757.853,1,7241.42713567839,15420
403,Espejo,10018,57098244.816495,57098244.816495,574274.9759,1,6600.09411764706,13918
404,Mira,8792,28006722.4614521,28006722.4614521,1461364.26965,1,5920.41935483871,12250
405,Montúfar,24171,88990171.7135991,88990171.7135991,1959942.1965,40556,15569.8909090909,33611
406,San Pedro de Huaca,6196,27391615.5238202,27391615.5238202,434263.93,1,4072.4882629108,8652
501,Latacunga,136862,1177781051.33787,1177781051.33787,12936842.97807,4865579,98903.4516568316,197277
502,La Maná,34727,155377444.362638,155377444.362638,347406.27,13790,20411.5305719921,52728
503,Pangua,15565,43158850.7821587,43158850.7821587,1248233.22,1000,11646.5384615385,24164
504,Pujilí,48914,135835562.200322,135835562.200322,7795239.905,15350,35479.8732394366,77573
505,Salcedo,45747,255064324.305196,255064324.305196,7025672.3654,13894,36991.8707224335,65296
506,Saquisilí,19040,43965515.4100031,43965515.4100031,2004726.4807,1053,12904.8888888889,29881
507,Sigchos,14027,26607913.7382734,26607913.7382734,857924.2837,858800,11872.8535714286,23248
601,Riobamba,185544,1439924903.58698,1439924903.58698,6305530.5951,12929938.77,121194.283146067,255766
602,Alausí,28522,69262760.4730554,69262760.4730554,2179284.7893,1420,23174.125,45525
603,Colta,32747,61455698.6580222,61455698.6580222,5942216.4296,3850,28393.3526011561,45658
604,Chambo,9195,28318170.9758362,28318170.9758362,219377.874,8000,8063.30769230769,13116
605,Chunchi,8421,30696590.6166936,30696590.6166936,760074.74978,1,5302.11111111111,12982
606,Guamote,33257,93129124.5813325,93129124.5813325,3933336.50891,800,29767.0679012346,54746
607,Guano,32794,89211448.6072444,89211448.6072444,2917357.3185,3940,27400.25,47394
608,Pallatanga,7963,21669836.7621039,21669836.7621039,453915.8603,5390,6825.42857142857,12251
609,Penipe,5216,14546779.2676396,14546779.2676396,4940380.5397,1,4436.59770114943,7006
610,Cumandá,10889,51794941.8077309,51794941.8077309,457994.28,5200,7538.53846153846,16491
701,Machala,202015,2053875465.87283,2053875465.87283,20261672.3907,17373944,135010.92734657,279887
702,Arenillas,22597,75319141.7424861,75319141.7424861,2528712.3833,59680,17046.8596491228,31809
703,Atahualpa,4821,13087144.4534709,13087144.4534709,360301.437,1,,6355
704,Balsas,5920,42479428.3726758,42479428.3726758,301412.8526,1,3854.88372093023,8567
705,Chilla,1666,6404282.51313533,6404282.51313533,430702.39,1,,2455
706,El Guabo,41216,324224101.894933,324224101.894933,5289915.98,1028250,28773.4339622641,60095
707,Huaquillas,39064,155579938.823851,155579938.823851,7063160.2623,4010,29617.1503267974,57366
708,Marcabelí,4208,13324362.6667901,13324362.6667901,100761.02,1,2778.8679245283,6103
709,Pasaje,60693,247760423.541651,247760423.541651,5814329.75766,57777,39800.8562091503,84262
