nivelIngresos,Frecuencia,sumValTot
6.85355249296782,9,261.32
6.32435896238131,20,1048.05
8.38552976733736,7,3383.97
6.75773439313784,19,5834.01
6.69410403285127,11,1604.16
7.58578882173203,10,2458.81
6.49220953153102,20,1252.31
6.87638844323264,14,1995.33
7.03139667643326,6,270.45
6.87638844323264,12,1739.66
7.70273676542335,16,6677.25
7.52294091807237,1,0.31
6.87626461189077,23,2784.36
7.56989671097843,2,59.95
6.74423584915078,14,1994.48
6.70827942496811,17,2025.55
6.84331275323686,30,11211.53
6.92951677076365,9,2304.8
7.19368581839511,43,4625.49
6.83138166527673,27,2600.49
7.60589000105312,1,0.02
7.1359898490405,44,2467.91
6.45833828334479,30,6646.21
6.86119811980029,12,1995.9
6.11589212548303,4,1160.46
6.87638844323264,36,2343.18
6.94273624787738,4,147.59
7.27931883541462,12,2523.74
6.92969288050004,9,2019.1
7.20711885620776,10,2014.18
7.15070145759253,5,876.31
7.69621263934641,6,4879.49
5.06259503302697,36,1423.89
7.33590773845507,10,2616.27
4.60517018598809,1,0.02
6.74511869550458,25,2949.45
6.91146837689402,26,1983.25
6.88261181477345,11,1651.37
6.86274745274565,25,2519.75
6.75773439313784,13,1488.59
6.72595758494812,21,4026.74
5.01063529409626,2,19.71
6.98911404334996,5,2532.32
5.39362754635236,1,0.02
5.19295685089021,44,1788.72
6.74523634948436,10,1203.73
7.8605977809321,3,2.06
6.39692965521615,1,0.02
6.89365635460264,18,1947.1
6.89368678010326,39,2204.09
5.51342874616498,23,1280.16
6.92969288050004,17,2037.14
6.87626461189077,7,2412.28
7.09007683577609,12,733.06
7.13089883029635,19,1244.16
5.84643877505773,25,855.18
6.51395684974102,17,2605.05
6.86284159155863,7,62.72
6.57319122063023,18,1964.96
6.68461172766793,16,439.24
5.01063529409626,5,173.16
6.89368678010326,3,200.82
6.99059714228472,11,1433.22
7.44464038562359,9,290.05
6.69038254442835,7,1561.16
7.45006212779492,10,1652.05
7.13165054768602,14,2027.82
7.03924834563101,1,0.02
6.53378883793334,3,175.03
6.69410403285127,8,1580.35
6.89368678010326,16,4437.76
6.56025242821182,19,1799.37
6.83961561483883,8,1097.97
7.47805662954324,27,5543.43
6.74423584915078,10,1237.57
7.50611914092203,8,2118.47
7.48661331313996,6,1116.15
6.59304453414244,14,584.04
6.59515190112511,11,1469.41
6.61621242998119,11,1114.54
8.43381158247719,1,0.93
6.90471064879591,17,2298.07
6.57513162704911,10,1353.7
6.47697236288968,18,1459.01
8.01941211637104,20,2422.26
7.85262180583263,36,4948.48
6.97599319889819,36,2526.08
5.9632708127372,8,507.25
6.39692965521615,5,83.36
6.87638844323264,17,857.42
7.42952084278646,6,222.5
6.89368678010326,20,2948.4
6.91075078796194,27,2251.81
8.51719319141624,2,20.06
6.32471732110222,9,1461.45
5.19295685089021,7,355.77
7.0475172213573,11,1340.94
6.68461172766793,5,5.29
7.31198629257549,9,4129.02
6.73057647553384,18,1542.69
6.8351845861473,15,1948.72
6.67772557242997,24,1911.1
6.81290599294996,21,1852.91
5.01063529409626,9,1045.52
6.70827942496811,7,1187.92
6.70827942496811,30,5432.65
5.24702407216049,1,0.02
6.54335053698146,25,8938.83
6.82437367004309,10,1716.17
8.69875112338963,36,3783.66
7.58375630070711,30,2637.18
6.91146837689402,13,1679.43
5.07517381523383,15,2922.26
6.90493129529104,8,1394.96
7.3664451483276,16,1745.25
5.01063529409626,39,2685.58
7.59289044893191,10,2801.72
7.69452029905514,2,574.72
7.01571242048723,24,1879.54
6.92969288050004,22,2743.9
6.72595758494812,41,23717.65
7.58540803858343,18,3182.08
4.81535007091044,1,0.02
5.80685036425414,1,0.05
6.82510166585938,16,1840.84
6.78675081007699,12,1507.53
7.42956831940424,24,2091.97
6.69404212139701,19,1651.82
6.61955307128347,17,1777.02
6.69410403285127,42,1557.14
5.01063529409626,7,1361.31
5.01063529409626,22,1799.54
5.01063529409626,10,394.2
7.3132203870903,2,100.06
7.09007683577609,4,43.12
6.70827942496811,27,1795.72
5.01063529409626,10,2210.81
6.69410403285127,11,1460.46
7.45587668749182,15,2146.02
