CODIGO;NOM_CANT;NO_POBRES; POBRES;Total;NO_POBRES_P; POBRES_P
2202;AGUARICO;302;4166;4468;0.068;0.932
2203;LA JOYA DE LOS SACHAS;4358;32287;36645;0.119;0.881
2204;LORETO;1368;19690;21058;0.065;0.935
2301;SANTO DOMINGO DE LOS TSACHILAS;94008;272700;366708;0.256;0.744
2401;SANTA ELENA;27353;115402;142755;0.192;0.808
2402;LIBERTAD;31436;63758;95194;0.33;0.67
2403;SALINAS;26072;40860;66932;0.39;0.61
9001;LAS GOLONDRINAS;303;4991;5294;0.057;0.943
9003;MANGA DEL CURA;767;19967;20734;0.037;0.963
9004;EL PIEDRERO;1061;5200;6261;0.169;0.831
