NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
CARCHI,04,Bolívar,0402,49588.6084255168,17864.942175948,31723.6662495688,2007,Definitivo
CARCHI,04,Espejo,0403,41720.5605765515,15867.1173028922,25853.4432736593,2007,Definitivo
CARCHI,04,Mira,0404,39170.6556113111,15198.8765633337,23971.7790479775,2007,Definitivo
CARCHI,04,Montúfar,0405,92215.9798097824,34564.6195418643,57651.3602679182,2007,Definitivo
CARCHI,04,San Pedro de Huaca,0406,23989.5063226266,12268.5627387794,11720.9435838472,2007,Definitivo
COTOPAXI,05,Latacunga,0501,799739.949758525,358681.105705222,441058.844053303,2007,Definitivo
COTOPAXI,05,La Maná,0502,128507.94670229,50694.9510460345,77812.9956562559,2007,Definitivo
COTOPAXI,05,Pangua,0503,55652.1944920917,21572.0888926794,34080.1055994123,2007,Definitivo
COTOPAXI,05,Pujilí,0504,177915.000450417,71126.3609091086,106788.639541308,2007,Definitivo
COTOPAXI,05,Salcedo,0505,213146.246806456,91529.0084917999,121617.238314656,2007,Definitivo
COTOPAXI,05,Saquisilí,0506,67803.3718871565,29713.0050301855,38090.3668569709,2007,Definitivo
COTOPAXI,05,Sigchos,0507,38142.4145554046,14555.5938410944,23586.8207143102,2007,Definitivo
CHIMBORAZO,06,Riobamba,0601,936268.992725845,427847.960976558,508421.031749287,2007,Definitivo
CHIMBORAZO,06,Alausí,0602,102106.226314391,38965.1059313056,63141.1203830855,2007,Definitivo
CHIMBORAZO,06,Colta,0603,85661.1218256151,33375.3159234063,52285.8059022088,2007,Definitivo
CHIMBORAZO,06,Chambo,0604,39523.6751281937,15624.9659393542,23898.7091888395,2007,Definitivo
CHIMBORAZO,06,Chunchi,0605,33811.0147906859,12928.3992163961,20882.6155742898,2007,Definitivo
CHIMBORAZO,06,Guamote,0606,74380.5428005794,28643.4735374924,45737.0692630871,2007,Definitivo
