CODIGO;NOM_CANT;A_2010;A_2011;A_2012;A_2013;A_2014;A_2015;A_2016;A_2017;A_2018;A_2019;A_2020;SuperficieKM2
0714;LAS LAJAS;5017;5021;5022;5021;5019;5014;5007;4999;4988;4977;4963;298.23
0801;ESMERALDAS;196095;198774;201372;203881;206298;208615;210833;212952;214975;216901;218727;1350.01
0802;ELOY ALFARO;41130;41670;42191;42694;43176;43637;44077;44497;44895;45272;45629;4272.93
0803;MUISNE;29534;29767;29983;30183;30366;30532;30680;30811;30926;31025;31106;1243.28
0804;QUININDE;126665;128807;130910;132965;134973;136925;138826;140670;142462;144198;145879;3875.49
0805;SAN LORENZO;43498;45242;47031;48859;50727;52634;54584;56570;58596;60662;62772;3050.67
0806;ATACAMES;42700;43949;45211;46479;47754;49033;50319;51607;52899;54195;55495;508.82
0807;RIOVERDE;27786;28209;28622;29023;29413;29789;30152;30503;30840;31164;31475;1507.6
0808;LA CONCORDIA;44304;45187;46062;46926;47776;48612;49435;50241;51033;51810;52571;323.43
0901;GUAYAQUIL;2440553;2471180;2501423;2531223;2560505;2589229;2617349;2644891;2671801;2698077;2723665;4196.37
0902;ALFREDO BAQUERIZO MORENO;26031;26623;27220;27822;28426;29034;29646;30259;30874;31491;32110;218.54
0903;BALAO;21212;21709;22212;22718;23228;23741;24258;24777;25299;25822;26348;409.76
0904;BALZAR;56081;56571;57046;57507;57953;58382;58792;59186;59563;59921;60260;1186.17
0905;COLIMES;24354;24567;24773;24973;25167;25353;25531;25702;25866;26022;26169;758.12
0906;DAULE;123735;128192;132777;137473;142287;147219;152276;157446;162734;168144;173684;462.07
0907;DURAN;243235;250033;256954;263970;271085;278296;285609;293005;300488;308059;315724;300.19
0908;EL EMPALME;77297;78250;79190;80115;81024;81915;82787;83639;84472;85284;86073;715.73
0909;EL TRIUNFO;46207;47471;48757;50060;51380;52717;54071;55439;56823;58221;59636;395
0910;MILAGRO;172730;175528;178319;181093;183848;186581;189289;191970;194622;197245;199835;405.14
0911;NARANJAL;71111;73313;75564;77856;80189;82564;84983;87439;89936;92472;95052;1739.9
0912;NARANJITO;38574;39131;39685;40232;40774;41309;41836;42355;42866;43369;43862;224.54
0913;PALESTINA;16684;16878;17069;17257;17440;17620;17795;17966;18132;18294;18451;194.15
0914;PEDRO CARBO;45036;45739;46439;47134;47824;48507;49182;49850;50510;51161;51802;935.09
0916;SAMBORONDON;69360;72222;75185;78238;81388;84634;87986;91434;94983;98638;102404;368
0918;SANTA LUCIA;40411;40909;41401;41886;42361;42828;43284;43730;44166;44591;45004;357.86
0919;URBINA JADO;59619;60297;60964;61619;62259;62884;63493;64087;64663;65223;65765;392.67
0920;YAGUACHI;63005;64477;65965;67464;68974;70493;72021;73557;75099;76648;78204;509.99
0921;PLAYAS;43151;44635;46159;47717;49311;50940;52607;54308;56044;57817;59628;272.53
0922;SIMON BOLIVAR;26355;26930;27510;28093;28679;29266;29856;30446;31038;31630;32224;291.92
0923;CORONEL MARCELINO MARIDUEÑA;12524;12603;12677;12749;12816;12879;12938;12993;13044;13090;13132;253.67
0924;LOMAS DE SARGENTILLO;19011;19506;20008;20516;21030;21549;22074;22603;23137;23676;24220;66.77
0925;NOBOL;20214;20795;21388;21989;22599;23218;23847;24484;25128;25781;26444;135.25
0927;GENERAL ANTONIO ELIZALDE;11017;11231;11446;11661;11876;12090;12305;12519;12732;12944;13156;153.72
0928;ISIDRO AYORA;11213;11529;11850;12176;12506;12841;13181;13525;13873;14225;14582;487.25
1001;IBARRA;188013;191285;194588;197907;201237;204568;207907;211235;214552;217856;221149;1092.96
1002;ANTONIO ANTE;45117;46009;46912;47822;48739;49661;50588;51517;52447;53378;54311;82.23
1003;COTACACHI;41727;42012;42291;42565;42831;43087;43333;43568;43792;44004;44203;1687.33
1004;OTAVALO;108915;110608;112312;114018;115725;117425;119123;120808;122481;124140;125785;490.23
1005;PIMAMPIRO;13562;13547;13529;13509;13485;13458;13428;13394;13357;13315;13269;449.45
1006;SAN MIGUEL DE URCUQUI;16323;16458;16591;16722;16851;16976;17097;17215;17328;17436;17540;785.31
1101;LOJA;222830;227913;233039;238171;243321;248473;253625;258767;263900;269017;274112;1895.19
1102;CALVAS;29479;29543;29595;29636;29665;29682;29684;29674;29651;29616;29565;841.07
1103;CATAMAYO;31890;32335;32775;33207;33632;34046;34451;34845;35229;35601;35961;651.91
1104;CELICA;15091;15223;15351;15473;15590;15701;15805;15904;15996;16082;16160;521.29
1105;CHAGUARPAMBA;7531;7448;7363;7277;7189;7099;7006;6912;6816;6719;6620;312.98
1106;ESPINDOLA;15537;15428;15313;15194;15069;14939;14803;14662;14516;14366;14209;515.51
1107;GONZANAMA;13413;13169;12923;12678;12433;12187;11939;11692;11446;11200;10953;698.47
1108;MACARA;19877;19953;20022;20083;20136;20181;20215;20242;20260;20270;20269;575.71
1109;PALTAS;24960;24853;24737;24613;24479;24335;24180;24017;23845;23663;23471;1155.17
1110;PUYANGO;16240;16239;16231;16217;16196;16169;16133;16092;16043;15988;15925;637.95
1111;SARAGURO;31492;31747;31992;32226;32448;32658;32855;33038;33209;33365;33506;1082.7
1112;SOZORANGA;7840;7779;7716;7650;7583;7512;7438;7362;7284;7204;7121;410.61
1113;ZAPOTILLO;12820;12987;13152;13313;13471;13624;13774;13918;14059;14194;14325;1213.39
1114;PINDAL;8983;9145;9307;9466;9626;9783;9939;10093;10244;10394;10540;201.56
1115;QUILANGA;4552;4524;4494;4462;4429;4394;4358;4320;4281;4239;4197;236.68
1116;OLMEDO;5136;5045;4954;4863;4772;4681;4589;4497;4405;4313;4220;112.54
1201;BABAHOYO;159443;161230;162981;164690;166350;167963;169523;171038;172502;173917;175281;1087.31
1202;BABA;41216;41501;41774;42034;42278;42508;42721;42920;43105;43275;43429;517.1
1203;MONTALVO;25009;25400;25789;26173;26552;26927;27296;27661;28019;28372;28720;362.87
1204;PUEBLOVIEJO;37703;38416;39131;39842;40551;41257;41959;42657;43351;44040;44725;336.42
1205;QUEVEDO;179370;182855;186349;189834;193308;196769;200217;203650;207064;210461;213842;304.67
1206;URDANETA;30371;30639;30900;31152;31393;31623;31842;32052;32251;32440;32618;378.34
1207;VENTANAS;69032;69737;70425;71093;71739;72363;72964;73544;74100;74634;75146;531.79
1208;VINCES;74358;75245;76116;76969;77801;78611;79398;80165;80908;81630;82329;696.67
1209;PALENQUE;23216;23297;23370;23434;23490;23536;23573;23602;23623;23634;23638;579.63
1210;BUENA FE;65052;66820;68615;70429;72263;74115;75988;77878;79784;81709;83654;580.88
1211;VALENCIA;43899;44944;46001;47063;48131;49204;50283;51365;52451;53541;54637;978.21
1212;MOCACHE;39824;40228;40621;41004;41373;41729;42072;42403;42720;43025;43316;567.96
1213;QUINSALOMA;17021;17364;17707;18050;18393;18735;19076;19416;19754;20092;20428;283.42
1301;PORTOVIEJO;290199;293850;297417;300878;304227;307463;310582;313576;316444;319185;321800;960.73
1302;BOLIVAR;42266;42671;43060;43432;43785;44119;44434;44729;45004;45258;45493;538.2
1303;CHONE;131674;131893;132051;132148;132178;132144;132041;131877;131649;131358;131002;3037.1
1304;EL CARMEN;91918;93900;95884;97861;99828;101784;103731;105660;107572;109466;111344;1261.3
1305;FLAVIO ALFARO;26122;25939;25745;25540;25325;25099;24862;24615;24360;24095;23822;1346.92
1306;JIPIJAPA;73951;74182;74378;74540;74665;74754;74804;74819;74797;74739;74645;1467.45
1307;JUNIN;19754;19701;19639;19569;19488;19399;19300;19193;19077;18953;18820;246.07
1308;MANTA;234547;237878;241151;244348;247463;250495;253441;256293;259052;261713;264281;303.31
1309;MONTECRISTI;71947;75075;78312;81641;85068;88597;92234;95965;99798;103735;107785;738.58
1310;PAJAN;38650;38575;38482;38372;38243;38096;37929;37746;37546;37328;37093;1088.23
1311;PICHINCHA;31560;31427;31279;31118;30942;30752;30546;30329;30098;29855;29599;1075.26
1312;ROCAFUERTE;34730;35056;35369;35668;35951;36219;36470;36705;36924;37127;37312;279.65
1313;SANTA ANA;49367;49352;49313;49251;49165;49055;48920;48763;48582;48379;48152;1025.29
1314;SUCRE;59364;59795;60201;60582;60934;61258;61553;61819;62056;62264;62443;694.26
1315;TOSAGUA;39804;40133;40447;40744;41023;41283;41524;41746;41949;42133;42297;374.81
1316;24 DE MAYO;30088;29992;29882;29759;29622;29471;29305;29126;28935;28731;28514;525.91
1317;PEDERNALES;57127;57854;58565;59255;59924;60570;61193;61792;62367;62917;63441;1907.25
1318;OLMEDO;10247;10264;10276;10284;10286;10283;10275;10262;10244;10222;10194;253.88
1319;PUERTO LOPEZ;21149;21525;21899;22267;22631;22989;23342;23689;24028;24361;24688;429.36
1320;JAMA;24121;24367;24603;24830;25047;25252;25448;25632;25804;25966;26116;579.39
1321;JARAMIJO;18918;19747;20606;21489;22399;23336;24302;25294;26313;27361;28439;97.23
1322;SAN VICENTE;22845;23083;23314;23535;23746;23948;24139;24320;24491;24650;24799;709.42
1401;MORONA;42479;44016;45570;47137;48712;50292;51880;53475;55075;56679;58281;4657.06
1402;GUALAQUIZA;17881;18113;18331;18537;18727;18901;19060;19206;19338;19455;19555;2207.93
1403;LIMON INDANZA;10159;10218;10268;10310;10342;10365;10377;10383;10380;10369;10349;1820.74
1404;PALORA;7234;7310;7380;7444;7502;7553;7598;7637;7671;7698;7719;1455.01
1405;SANTIAGO;9665;9837;10004;10164;10317;10463;10601;10734;10859;10977;11087;1405.41
1406;SUCUA;18977;19490;19999;20504;21002;21491;21973;22449;22916;23375;23823;893.3
1407;HUAMBOYA;8726;9072;9424;9781;10142;10507;10875;11247;11622;12001;12382;663.52
1408;SAN JUAN BOSCO;4052;4153;4253;4352;4448;4543;4635;4726;4815;4901;4985;1054.65
1409;TAISHA;19010;19749;20500;21260;22028;22802;23584;24373;25168;25968;26773;6169.69
1410;LOGROÑO;5922;6099;6276;6452;6627;6800;6972;7142;7311;7478;7643;1171.47
1411;PABLO VI;1872;1963;2057;2154;2253;2354;2458;2564;2673;2784;2897;1390.48
1412;TIWINTZA;7186;7531;7886;8250;8622;9003;9393;9792;10200;10616;11041;1170.14
1501;TENA;62766;64333;65946;67571;69202;70845;72499;74158;75826;77502;79182;3921.76
1503;ARCHIDONA;25722;26414;27128;27849;28575;29309;30050;30795;31547;32305;33068;3028.76
1504;EL CHACO;8214;8401;8593;8786;8978;9172;9366;9560;9754;9948;10142;3500.2
1507;QUIJOS;6463;6510;6558;6603;6645;6685;6722;6757;6790;6820;6847;1589.39
1509;CARLOS JULIO AROSEMENA;3788;3856;3926;3996;4065;4133;4201;4268;4335;4401;4466;502.39
1601;PASTAZA;63887;65804;67765;69746;71759;73802;75870;77965;80082;82221;84377;19929.83
1602;MERA;12175;12650;13142;13644;14161;14692;15236;15794;16365;16950;17547;528.49
