GDPP,ImasD,IngDis,Capa,AsisTec,Info,Pruebas,prod,exitoso,actitrab,actipor,CapAsisInf,Otro,PorImasD,Publico,Apoyo,Financiero,DPA_PROVIN
4211552.77604914,0.0502599653379549,0.0658578856152513,0.10051993067591,0.123050259965338,0.180242634315425,0.0901213171577123,10.5942275425293,0.367417677642981,832,0.0626627715368491,0.211438474870017,0.131715771230503,0.81468750880854,0.119428549555863,14547.0190641248,55.6976744186047,1
455038.789276887,0.16,0,0.12,0.24,0.44,0.16,10.2617267583376,0.44,104,0.00274804213261937,0.44,0.2,1,0,400,80,2
902084.7804032,0.0185185185185185,0.0185185185185185,0.0925925925925926,0.0925925925925926,0.185185185185185,0.0925925925925926,10.4140020775751,0.296296296296296,84,0.00108946538253989,0.222222222222222,0.111111111111111,1,1,142037.037037037,85.625,3
593995.426316214,0.05,0.0166666666666667,0.15,0.0833333333333333,0.283333333333333,0.0666666666666667,9.96621798933781,0.316666666666667,96,0.00165403474563158,0.3,0.1,0.536618091856528,0,0,66.1111111111111,4
1522020.88527394,0.0204081632653061,0.0748299319727891,0.210884353741497,0.292517006802721,0.517006802721089,0.19047619047619,10.5929413737336,0.63265306122449,83,0.0165793942223533,0.571428571428571,0.238095238095238,0.981862843449486,1,54521.8345323741,60.3125,5
1456832.06864533,0.0206896551724138,0.0206896551724138,0.296551724137931,0.337931034482759,0.489655172413793,0.358620689655172,10.3950753789907,0.503448275862069,585,0.0225891952601958,0.496551724137931,0.36551724137931,0.867660894197475,0.196250146066236,0,72.7777777777778,6
3074905.77458407,0.0190476190476191,0.0190476190476191,0.0507936507936508,0.0888888888888889,0.0984126984126984,0.0317460317460317,10.4321270788736,0.219047619047619,278,0.0182117406225054,0.133333333333333,0.0507936507936508,0.922925759613685,0,49.2063492063492,66.4285714285714,7
1970951.21549707,0.0408163265306122,0.0510204081632653,0.275510204081633,0.306122448979592,0.357142857142857,0.275510204081633,10.1495342375871,0.489795918367347,104,0.00511234314390385,0.459183673469388,0.295918367346939,0,0,0,69.0625,8
22602262.1958605,0.0505338078291815,0.0704626334519573,0.120284697508897,0.145195729537367,0.232740213523132,0.128825622775801,11.4570516546449,0.306049822064057,1622,0.162752279874153,0.254092526690391,0.16797153024911,0.646374155218923,0.235022453661199,21619.8888096935,48.9322033898305,9
1773853.6342195,0.101063829787234,0.143617021276596,0.223404255319149,0.234042553191489,0.436170212765957,0.186170212765957,10.263788880291,0.515957446808511,236,0.0364445744591587,0.49468085106383,0.25,0.834889214861202,0.0614512395626314,7078.89361702128,58.0555555555556,10
1656978.18677825,0.0113636363636364,0.0284090909090909,0.107954545454545,0.125,0.153409090909091,0.0681818181818182,10.6089998336485,0.232954545454545,792,0.034703212061821,0.193181818181818,0.0965909090909091,0.792390368483833,0.25972296179966,0,64.5909090909091,11
3020790.93104362,0.0393700787401575,0.015748031496063,0.0551181102362205,0.125984251968504,0.220472440944882,0.110236220472441,11.0375623015563,0.291338582677165,177,0.015662597908765,0.236220472440945,0.133858267716535,0.805233558028743,0,0,65,12
5218347.75792477,0.0212765957446809,0.0638297872340426,0.121580547112462,0.155015197568389,0.231003039513678,0.103343465045593,10.6075533649344,0.310030395136778,485,0.0345325251858871,0.264437689969605,0.13677811550152,0.807319246989261,0.00339118530311988,214.723926380368,63.9655172413793,13
390125.364648096,0.04,0,0.04,0.04,0,0,9.89092587138505,0.16,61,0.000470384806946047,0.04,0.04,0,0,0,75,14
315454.076008215,0.0769230769230769,0.0384615384615385,0.192307692307692,0.307692307692308,0.423076923076923,0.384615384615385,9.29194501624071,0.423076923076923,100,0.00337923525893332,0.423076923076923,0.384615384615385,0,0,46153.8461538462,75,15
1019120.35427424,0,0.0357142857142857,0.107142857142857,0.392857142857143,0.428571428571429,0.178571428571429,10.4620114824996,0.428571428571429,123,0.00598241094776839,0.428571428571429,0.214285714285714,0.876006505419692,1,71.4285714285714,0,16
23199568.9913769,0.103529411764706,0.168823529411765,0.273529411764706,0.289411764705882,0.409411764705882,0.265294117647059,11.4066844057981,0.522941176470588,4903,0.526743477880991,0.477058823529412,0.337058823529412,0.664432619990448,0.835197513763774,46390.0182890856,46.4642857142857,17
