NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,A,B,C-J,D-E,F,G,I,H-J,K,L-M-N,O,P,Q,R-S-T-U,TOTAL,YEAR,TIPO
AZUAY,01,Cuenca,0101,21814.3778103512,22543.4138980844,407290.627400084,43833.7288149649,178313.119076896,223942.212652619,29276.5393184527,228916.099295547,110714.841409375,490417.953983912,150934.614738346,96269.2189224074,74854.6445294927,25633.76750427,2104755.1593548,2007,Definitivo
AZUAY,01,Girón,0102,4496.98268211934,438.171801681534,412.188270613965,234.773312530603,5134.24862529145,2088.13189395566,51.0938456381513,6904.33721127794,0,633.126004958396,1831.09427973656,2379.40163840903,814.227460436831,90.4578309422734,25508.2348575918,2007,Definitivo
AZUAY,01,Gualaceo,0103,7545.75436807647,0,794.273715668144,783.129305058029,18411.1688226717,9835.85171190954,1174.32720641484,21172.7176446636,2910.79327407691,8099.49195262668,3584.29774098468,9299.29113335149,2442.6823813105,308.366127739269,86362.1453845519,2007,Definitivo
AZUAY,01,Nabón,0104,8869.0188750441,0,0,274.695118097481,7943.37541473002,1386.20172241454,38.3203842286135,8297.06176417227,133.925173863405,189.071822417521,1918.40689581293,2925.58426027636,0,100.697429917994,32076.3588609752,2007,Definitivo
AZUAY,01,Paute,0105,26954.863868979,1089.71557599463,163.781594109898,441.82889477125,8930.36590831654,4741.33964927776,392.43895216972,12678.3613346172,828.985050144771,4138.47773375767,2577.43277395259,4304.83330539587,814.227460436831,310.414823964706,68367.0669258884,2007,Definitivo
AZUAY,01,Pucará,0106,3088.10707689359,0,43.7789715317873,172.511843744954,1015.46137320921,551.831895865661,0,5312.37432388024,313.67929438637,226.548947488564,1448.64953105788,1863.95656669008,0,64.4737205027244,14101.3735452511,2007,Definitivo
AZUAY,01,San Fernando,0107,3364.81055448121,0,11.5405884840241,78.1888212656986,1366.60222188904,538.587930364885,117.378126590244,2173.64163471609,23.0635864980434,338.790523295969,709.288876759401,859.075119531581,0,26.3804383286394,9607.34842220482,2007,Definitivo
AZUAY,01,Santa Isabel,0108,8012.80065276417,57.9160418842545,89.7330939725314,310.89364646123,7895.92394869221,3876.0672365604,661.287265705733,9205.29700121326,0,1689.74016403675,2286.79278994997,3365.36767009161,2008.42773574418,155.017721760184,39615.2649688365,2007,Definitivo
AZUAY,01,Sigsig,0109,8419.55325007915,0,149.17660405004,461.272675720921,11264.978037377,3346.30861652937,55.4380852088415,13517.592075318,369.543884854329,1481.61315382408,2458.48702835708,5598.17483856222,977.072952524198,164.056484012466,48263.2676864177,2007,Definitivo
AZUAY,01,Oña,0110,2039.52673812731,0,15.0111277745096,61.0203763846061,702.281697359643,335.513792686322,0,1772.73522992272,27.9285569437874,121.881956551598,529.36100730445,632.878276131981,0,23.7413690417802,6261.8801282287,2007,Definitivo
AZUAY,01,Chordeleg,0111,3366.73436849293,67.1873104446,81.4981410326536,230.015791659939,3312.1123294394,1849.7405149417,164.329377226342,5958.19809596557,32.1533744109078,2218.66476841384,628.090564256178,2670.22615135137,709.159548942063,275.383254749961,21563.4935913275,2007,Definitivo
AZUAY,01,El Pan,0112,3450.26672271094,0,19.8615200359111,54.814914379392,825.655509057959,282.537930683219,0,1687.20853023346,0,64.7282707110184,365.829247837221,430.325702077287,0,20.4768347590065,7201.70518248542,2007,Definitivo
AZUAY,01,Sevilla De Oro,0113,7185.02478559638,0,47.4608910256345,50349.2570717063,4821.06894944188,618.05172336954,0,2871.94769979256,17.7480719205207,1776.96851481925,966.256530296298,1152.26405940841,843.116250733131,34.8554416548757,70684.0199897648,2007,Definitivo
AZUAY,01,Guachapala,0114,6529.14596574176,0,23.952296267869,58.7450403160275,1100.87401207728,481.197413194857,0,1714.907518201,0,383.549433894013,541.944498298643,327.867201582695,0,20.8130039932413,11182.9963835674,2007,Definitivo
AZUAY,01,Camilo Ponce Enríquez,0115,4448.35999675416,0,0,261.663647886531,3397.52496830746,2993.13620317535,0,7652.20988640159,0,1278.36505543695,1213.30610599852,3560.03882103133,0,2653.75159459111,27458.356279583,2007,Definitivo
BOLÍVAR,02,Guaranda,0201,26326.0901089191,0,3098.84118441244,1331.20538741572,19383.1284363946,10295.1140557195,2213.66619118391,14365.494103959,2990.79568250532,6359.95163499748,28757.9890266241,18631.2798717907,8407.19513134095,4307.21153635083,146467.962351614,2007,Definitivo
BOLÍVAR,02,Chillanes,0202,5420.24216095409,0,38.1702375522252,288.437144370815,1782.23542206239,1217.46436314511,52.8454378403022,3287.72584489051,52.4179552344923,268.76139548394,1819.07107268612,4085.66170455018,788.174543563214,59.2963850710242,19160.5036674044,2007,Definitivo
BOLÍVAR,02,Chimbo,0203,4688.82346947311,0,33.2845597836446,262.181729679863,1086.21448800252,1894.24213601127,0,2640.26369635174,549.702988479609,582.316356881871,1868.81595157425,2677.09840084401,0,165.111399816719,16448.0551768986,2007,Definitivo
BOLÍVAR,02,Echeandía,0204,12672.5369294249,0,25.6603681073149,165.539458583379,1645.14038959606,1603.66907048721,0,1926.84867641471,27.7321498002954,581.223830883969,1562.62620765434,2981.99852804925,0,37.7898005929166,23230.7654095943,2007,Definitivo
BOLÍVAR,02,San Miguel,0205,13161.5963376355,0,96.8942598226594,404.631320024391,2636.44293204496,1938.37981685037,212.100874098402,4706.29111391265,152.877796486529,3878.28347401446,3750.46637184284,5394.85015198205,683.084604421452,84.8811802786426,37100.7802334149,2007,Definitivo
