CANTON_CODIGO,VOTOS_DANIEL_23,VOTOS_LUISA_23,SUFRAGANTES_23,PORC_LUISA_23,PORC_DANIEL_23,VOTOS_DANIEL_25,VOTOS_LUISA_25,SUFRAGANTES_25,PORC_LUISA_25,PORC_DANIEL_25
0100,85082.0,41075.0,139413.0,0.2946281910582227,0.6102874193941742,95532.0,37738.0,144299.0,0.26152641390446224,0.6620420099931392
0101,22.0,9.0,33.0,0.2727272727272727,0.6666666666666666,32.0,14.0,48.0,0.2916666666666667,0.6666666666666666
0105,22857.0,25449.0,56196.0,0.45286141362374543,0.40673713431560965,27141.0,23384.0,56651.0,0.4127729431078004,0.4790912781769077
0110,25491.0,16758.0,47629.0,0.35184446450691803,0.5351991433790337,29208.0,14530.0,48229.0,0.30127101951108254,0.6056107321321197
0111,137.0,46.0,189.0,0.24338624338624337,0.7248677248677249,149.0,60.0,214.0,0.2803738317757009,0.6962616822429907
0115,10779.0,5669.0,18487.0,0.306647914750906,0.583058365337805,11627.0,5575.0,18990.0,0.2935755660874144,0.6122696155871511
0120,7935.0,7171.0,16848.0,0.4256291547958215,0.47097578347578345,8752.0,6457.0,16560.0,0.3899154589371981,0.5285024154589372
0121,11.0,13.0,24.0,0.5416666666666666,0.4583333333333333,14.0,14.0,29.0,0.4827586206896552,0.4827586206896552
0125,3663.0,12980.0,18426.0,0.7044393791381743,0.19879518072289157,4622.0,12545.0,18843.0,0.665764474871305,0.24529002812715597
0130,3016.0,1369.0,4636.0,0.295297670405522,0.6505608283002589,2914.0,1559.0,4696.0,0.331984667802385,0.6205281090289608
0131,1423.0,566.0,2091.0,0.27068388330942134,0.6805356288857006,2400.0,889.0,3420.0,0.25994152046783625,0.7017543859649122
0135,168077.0,55937.0,242756.0,0.23042478867669594,0.6923701164955758,185655.0,50186.0,250386.0,0.20043452908708953,0.7414751623493326
0140,29729.0,10021.0,43294.0,0.23146394419550054,0.6866771377096134,33293.0,8196.0,44416.0,0.18452809798270894,0.7495722262247838
0141,36.0,16.0,53.0,0.3018867924528302,0.6792452830188679,85.0,31.0,119.0,0.2605042016806723,0.7142857142857143
0145,21432.0,7652.0,31693.0,0.2414413277379863,0.676237655002682,23698.0,6315.0,31886.0,0.19804930063350687,0.7432101862886533
0150,10229.0,4909.0,16398.0,0.29936577631418465,0.6237955848274179,10908.0,4605.0,16600.0,0.27740963855421685,0.6571084337349398
0155,6949.0,2308.0,10081.0,0.22894554111695267,0.6893165360579308,7550.0,2049.0,10215.0,0.20058737151248165,0.7391091532060695
0160,11312.0,2985.0,15330.0,0.19471624266144813,0.7378995433789954,12271.0,2417.0,15387.0,0.1570806524988627,0.7974913888347306
0161,17.0,3.0,23.0,0.13043478260869565,0.7391304347826086,26.0,1.0,27.0,0.037037037037037035,0.9629629629629629
0165,37229.0,24136.0,70861.0,0.3406104909611775,0.5253806748422969,42001.0,22594.0,71525.0,0.31588954910870326,0.5872212513107306
0170,7517.0,2936.0,11429.0,0.2568903666112521,0.6577128357686587,8007.0,2730.0,11509.0,0.2372056651316361,0.6957163958641064
0171,24948.0,35683.0,66754.0,0.5345447463822393,0.37373041315876204,42915.0,34942.0,82785.0,0.4220812949205774,0.5183910128646494
0175,13658.0,6413.0,21973.0,0.29185818959632276,0.6215810312656442,15188.0,5892.0,22400.0,0.26303571428571426,0.6780357142857143
0180,7573.0,5200.0,14263.0,0.36457968169389326,0.5309542172053565,8495.0,4573.0,14135.0,0.3235231694375663,0.6009904492394765
0181,14256.0,10327.0,25990.0,0.3973451327433628,0.5485186610234706,28658.0,13978.0,44198.0,0.3162586542377483,0.6484003801076972
0185,7395.0,4173.0,12726.0,0.3279113625648279,0.581093823668081,8183.0,3945.0,12991.0,0.3036717727657609,0.6298976214302209
0190,6911.0,1976.0,9771.0,0.20223109200695938,0.7072971036741378,7498.0,1888.0,10042.0,0.1880103565026887,0.7466640111531567
0191,421.0,420.0,913.0,0.4600219058050383,0.4611171960569551,683.0,516.0,1254.0,0.41148325358851673,0.5446570972886763
0195,117104.0,40346.0,170223.0,0.23701849926273183,0.6879446373286806,127385.0,37412.0,175239.0,0.2134912890395403,0.7269215186117246
0200,22233.0,6861.0,31766.0,0.21598564502927659,0.6998992633633444,24625.0,5798.0,32275.0,0.17964368706429124,0.7629744384198296
0201,1012.0,1571.0,2701.0,0.5816364309514994,0.3746760459089226,1652.0,1678.0,3483.0,0.48176859029572205,0.47430376112546657
0205,14001.0,14265.0,32508.0,0.43881506090808414,0.4306939830195644,16450.0,12246.0,31765.0,0.38551865260506846,0.517865575318747
0210,12521.0,14084.0,30931.0,0.45533607060877435,0.4048042416992661,15524.0,12153.0,31052.0,0.39137575679505343,0.4999355919103439
0211,34.0,2.0,37.0,0.05405405405405406,0.918918918918919,54.0,7.0,65.0,0.1076923076923077,0.8307692307692308
0215,10563.0,12587.0,26848.0,0.4688244934445769,0.3934371275327771,12447.0,10950.0,26073.0,0.4199746864572546,0.47739040386606835
0220,3392.0,2772.0,7097.0,0.3905875722136114,0.4779484289136255,3763.0,2511.0,6985.0,0.35948460987831066,0.5387258410880458
0221,18.0,12.0,30.0,0.4,0.6,26.0,9.0,36.0,0.25,0.7222222222222222
0225,4807.0,1499.0,6729.0,0.22276712735919155,0.7143706345668004,5091.0,1394.0,6783.0,0.20551378446115287,0.7505528527200354
0230,7546.0,12697.0,22831.0,0.5561298234856117,0.3305155271341597,8439.0,11172.0,22091.0,0.505726313883482,0.38201077361821556
0231,27.0,23.0,55.0,0.41818181818181815,0.4909090909090909,60.0,44.0,109.0,0.4036697247706422,0.5504587155963303
0235,31832.0,12798.0,48597.0,0.26334958948083215,0.6550198571928308,35212.0,11320.0,49476.0,0.2287978009539979,0.7116986013420649
0240,16403.0,13615.0,34369.0,0.3961418720358463,0.4772614856411301,19087.0,11988.0,34532.0,0.34715626085949264,0.5527336962817098
0241,1487.0,1575.0,3486.0,0.45180722891566266,0.4265633964429145,1731.0,1248.0,3331.0,0.37466226358450916,0.5196637646352447
0245,7280.0,3449.0,11902.0,0.28978322970929254,0.6116619055620904,8247.0,2863.0,11992.0,0.23874249499666444,0.6877084723148766
