443630.16005300000	4498105.50027000000
443661.02998200000	4498228.99983000000
444419.00008700000	4499466.99968000000
444793.00027300000	4499621.99978000000
445661.99972400000	4499037.00023000000
446065.00015500000	4499081.00034000000
446263.00032100000	4498900.00021000000
446814.00037600000	4497935.00031000000
446949.99950200000	4496766.99983000000
447129.00022200000	4496698.99987000000
447852.99959700000	4495970.99975000000
448013.99957000000	4494927.99975000000
448891.99996900000	4494363.99978000000
449158.00027400000	4493832.00038000000
448721.03026400000	4493088.00037000000
447951.99968000000	4492619.99979000000
447166.03033100000	4491800.99995000000
445116.02998200000	4492265.00016000000
444626.02996700000	4493533.99972000000
444329.99965200000	4493838.00015000000
443768.99994900000	4493961.99976000000
443051.99952200000	4493556.00016000000
441503.99968700000	4492599.00021000000
440810.00040700000	4492438.99966000000
441630.00031600000	4491509.99992000000
441767.00044300000	4491521.00014000000
442504.00016600000	4489728.00036000000
442707.99943100000	4488448.99990000000
443387.99966400000	4487528.00011000000
442676.02955100000	4486649.00026000000
443148.00005500000	4486416.00006000000
443609.99967600000	4486447.99986000000
444307.99950600000	4485039.00001000000
444561.03052800000	4485203.00015000000
445431.99976300000	4484613.00015000000
446361.03046900000	4484565.99976000000
448021.02958300000	4484916.99980000000
448645.00026200000	4484393.00036000000
449006.03001500000	4483823.99992000000
449831.03032300000	4483830.99978000000
451689.99953800000	4485092.00017000000
453148.00023800000	4484892.99995000000
453049.00015500000	4484494.00021000000
453233.99997400000	4483630.00017000000
454213.00015600000	4482953.00002000000
454143.00031800000	4482401.00036000000
454610.00033800000	4482117.00019000000
454892.00053900000	4480459.00025000000
455534.99942800000	4480266.99989000000
455607.00011600000	4480055.00005000000
455273.99952300000	4479480.99994000000
455236.03054500000	4479103.99987000000
455469.00014000000	4478734.99974000000
455393.99990300000	4478452.99975000000
455056.02997600000	4478585.00010000000
454806.02956800000	4478246.99968000000
455066.02962400000	4477681.99961000000
454693.00052300000	4477662.00013000000
454728.99971700000	4477495.99980000000
454459.99986300000	4477492.00022000000
454498.99975600000	4477368.99992000000
453464.99978400000	4477168.99961000000
452326.03054500000	4476558.00003000000
451932.99984700000	4476519.00037000000
451448.00023000000	4476706.00027000000
450914.99977200000	4476401.99984000000
450922.99972000000	4476101.99977000000
450362.99986600000	4475644.00010000000
450393.99981100000	4475141.00023000000
450931.02958400000	4474619.00019000000
450831.99958600000	4474393.99994000000
451148.00043200000	4473928.99964000000
451503.99987100000	4473833.00024000000
452067.00042400000	4474007.99982000000
453851.03038300000	4473783.00036000000
454558.00009600000	4475100.99970000000
455543.00052700000	4474331.99974000000
456031.02960800000	4473580.99987000000
456141.03034000000	4472752.99999000000
455898.99996600000	4471618.00018000000
455194.99988700000	4471329.00033000000
454877.00049200000	4471578.99974000000
454505.00000500000	4471542.00026000000
454056.99943200000	4471745.00006000000
453501.99997800000	4470338.99971000000
453121.02960800000	4467619.00038000000
452072.99952300000	4466316.00006000000
451433.00018300000	4465139.99963000000
450628.00032100000	4464327.99965000000
450411.02947300000	4463734.00006000000
450538.00003700000	4463453.00016000000
451151.02989600000	4463104.00030000000
449176.99972000000	4462788.00033000000
448211.02980100000	4463044.00029000000
447821.02971800000	4463439.99976000000
446496.02974500000	4463826.99996000000
444985.00019000000	4465167.99985000000
444038.99965200000	4464592.99965000000
443743.00040300000	4464748.99984000000
443151.99945400000	4464261.99987000000
442389.00018600000	4464447.00037000000
441931.02987900000	4464000.00015000000
441196.02985500000	4463796.00025000000
440941.03019900000	4464019.99963000000
439570.00032000000	4464155.00025000000
439386.03026600000	4464677.00029000000
438512.00050200000	4465365.99997000000
438881.03020300000	4468772.00027000000
435758.99992400000	4467893.99973000000
433838.99960300000	4468424.99981000000
433207.00021200000	4468080.99963000000
431946.02974300000	4468607.00004000000
431593.99978900000	4468967.00012000000
431283.00049300000	4468670.00032000000
431066.99957900000	4469326.00011000000
429266.02970400000	4472266.00002000000
430477.99948000000	4472312.99962000000
431606.03020200000	4471830.00002000000
432511.99993100000	4471810.99985000000
433139.00007400000	4471987.99961000000
433121.03039200000	4471820.99998000000
433793.99946100000	4472008.99997000000
434403.99985700000	4472879.99987000000
434040.00046900000	4473595.99968000000
433814.99975800000	4474611.00024000000
433901.03055800000	4475060.99995000000
434017.00047300000	4475340.99976000000
434730.00035100000	4475901.00015000000
434736.03051500000	4477527.00029000000
433569.99975000000	4477574.99999000000
433098.00048100000	4477354.00011000000
433205.00051300000	4477736.99995000000
432874.99946900000	4478631.99970000000
432629.99946100000	4479082.00020000000
432071.03052200000	4479553.00027000000
431429.00041800000	4479799.00009000000
430993.00034200000	4479736.99990000000
429826.02955700000	4480052.99987000000
429373.99967000000	4479846.99979000000
429037.99952800000	4480207.99997000000
429181.99975300000	4481025.99972000000
429183.99945300000	4481666.99970000000
429477.00030300000	4482216.99995000000
429394.99996700000	4483134.00015000000
428971.03030500000	4483724.00016000000
429227.99974500000	4484497.99980000000
427919.99952000000	4484904.00018000000
427774.99944400000	4485182.99989000000
427971.99976100000	4485726.00029000000
427791.03040700000	4486043.99966000000
427774.99944400000	4486576.99993000000
426989.00018000000	4487700.00020000000
426109.00008100000	4490215.99964000000
425174.00019100000	4490633.00025000000
425259.00007700000	4490932.00023000000
425013.00021900000	4491184.99991000000
424853.99994600000	4491713.99981000000
425167.00009300000	4492104.00029000000
425322.99966600000	4493333.00010000000
426141.02979000000	4493959.00027000000
426641.02945400000	4494072.99975000000
427447.00040100000	4493599.00019000000
428889.00005300000	4494048.99990000000
429324.00027900000	4493948.00005000000
430158.00038600000	4494292.00023000000
431185.00025900000	4494321.99985000000
431923.99968200000	4494840.00031000000
431400.00017200000	4495737.00024000000
431663.53019200000	4495880.00003000000
431782.11996700000	4495944.49967000000
432417.00039800000	4495467.99988000000
432151.03000800000	4494794.00001000000
433316.02985800000	4494773.99974000000
433853.99965100000	4495061.00019000000
435074.00044200000	4494823.00031000000
436409.00006200000	4494245.99993000000
436624.99982500000	4494005.99988000000
437391.02970900000	4493803.00008000000
437654.00054900000	4493319.00038000000
439143.99989300000	4492828.00004000000
440184.00011400000	4492994.99968000000
441164.00014600000	4493685.00023000000
441996.03046800000	4495515.00027000000
443102.00006300000	4496612.99982000000
443716.02977300000	4496988.99980000000
443562.99983400000	4497836.99995000000
