fecha,numerador,denominador
2017-10-30T00:00:00Z,284174.44,19987314.5
2017-10-31T00:00:00Z,270388.48,19725564.14
2017-11-01T00:00:00Z,241804.65,19722342.15
2017-11-06T00:00:00Z,428798.23,19709178.69
2017-11-07T00:00:00Z,414027.84,19705642.33
2017-11-08T00:00:00Z,412528.01,19740010.73
2017-11-09T00:00:00Z,412528.01,19752722.23
2017-11-10T00:00:00Z,396300.55,19805747.03
2017-11-13T00:00:00Z,388522.79,19910485.5
2017-11-14T00:00:00Z,380087.9,19885440.12
2017-11-15T00:00:00Z,379747.5,19898676.11
2017-11-16T00:00:00Z,379747.5,19896661
2017-11-17T00:00:00Z,364088.21,19961038.97
2017-11-20T00:00:00Z,349416.9,19926333.92
2017-11-21T00:00:00Z,333704.85,19914564.76
2017-11-22T00:00:00Z,328899.49,19932576.85
2017-11-23T00:00:00Z,324972.92,19939719.1
2017-11-24T00:00:00Z,324972.92,19966396.43
2017-11-27T00:00:00Z,315917.14,19983499.46
2017-11-28T00:00:00Z,315917.14,20037491.25
2017-11-29T00:00:00Z,314746.89,20047341.77
2017-11-30T00:00:00Z,276879.81,19791112.07
2017-12-01T00:00:00Z,276879.81,19782489.58
2017-12-04T00:00:00Z,258360.05,19781743.64
2017-12-05T00:00:00Z,265229.8,19784514.95
2017-12-06T00:00:00Z,358174.57,19805200.64
2017-12-07T00:00:00Z,351083.67,19798395.95
2017-12-08T00:00:00Z,351083.67,19816909.55
2017-12-11T00:00:00Z,351083.67,19812972.46
2017-12-12T00:00:00Z,314298.93,19820210.24
2017-12-13T00:00:00Z,295899.67,19861918.09
2017-12-14T00:00:00Z,295897.99,19896947.08
2017-12-15T00:00:00Z,295897.99,19898761.4
2017-12-18T00:00:00Z,295897.99,19894833.3
2017-12-19T00:00:00Z,291290.75,19906063.51
2017-12-20T00:00:00Z,282893.68,19869437.06
2017-12-21T00:00:00Z,270522.57,19860362.42
2017-12-22T00:00:00Z,268046.4,19908823.04
2017-12-26T00:00:00Z,270683.95,19889889.97
2017-12-27T00:00:00Z,233529.4,19884161.83
2017-12-28T00:00:00Z,233417.86,19883745.81
2017-12-29T00:00:00Z,233417.86,19883745.81
2017-12-31T00:00:00Z,233416.86,19624905.49
2018-01-02T00:00:00Z,231826.54,19601556.88
2018-01-03T00:00:00Z,230993.16,19614133.48
2018-01-04T00:00:00Z,230993.16,19642754.28
2018-01-05T00:00:00Z,457162.98,19637196
2018-01-08T00:00:00Z,411023.24,19639786.62
2018-01-09T00:00:00Z,411023.24,19646904.61
2018-01-10T00:00:00Z,410975.66,19679152.72
2018-01-11T00:00:00Z,396054.73,19678595.98
2018-01-12T00:00:00Z,380488.19,19684339.95
2018-01-15T00:00:00Z,343968.64,19754860.56
2018-01-16T00:00:00Z,343574.32,19749803.59
2018-01-17T00:00:00Z,343574.32,19748338.99
2018-01-18T00:00:00Z,325907.7,19762323.76
2018-01-19T00:00:00Z,325907.7,19847244.56
2018-01-22T00:00:00Z,325907.7,19840843.59
2018-01-23T00:00:00Z,325907.7,19840296.5
2018-01-24T00:00:00Z,317741.15,19821189.71
2018-01-25T00:00:00Z,372789.71,19834731.24
2018-01-26T00:00:00Z,342047.96,19849905.64
2018-01-29T00:00:00Z,297229.05,19846431.47
2018-01-30T00:00:00Z,273464.49,19865532.45
2018-01-31T00:00:00Z,251585.62,19560014.58
2018-02-01T00:00:00Z,245431.1,19600049.52
2018-02-02T00:00:00Z,208176.28,19591209.21
2018-02-05T00:00:00Z,414943.64,19592901.44
2018-02-06T00:00:00Z,404109.88,19624027.48
2018-02-07T00:00:00Z,404109.88,19631419.74
2018-02-08T00:00:00Z,404109.88,19630420.03
2018-02-09T00:00:00Z,397126.86,19640449.87
2018-02-14T00:00:00Z,367315.71,19664506.8
2018-02-15T00:00:00Z,367315.71,19653189.58
2018-02-16T00:00:00Z,366836.53,19658790.13
2018-02-19T00:00:00Z,359287.33,19644318.66
2018-02-20T00:00:00Z,359287.33,19610215.35
2018-02-21T00:00:00Z,347129.29,19647285.96
2018-02-22T00:00:00Z,347129.29,19637939.26
2018-02-23T00:00:00Z,337203.98,19651117.22
2018-02-26T00:00:00Z,408875.29,19649852.99
2018-02-27T00:00:00Z,335378.83,19675943.54
2018-02-28T00:00:00Z,262520.91,19430092.89
2018-03-01T00:00:00Z,251878.14,19469867.78
2018-03-02T00:00:00Z,249520.88,19497724.63
2018-03-05T00:00:00Z,217213.01,19518015.4
2018-03-06T00:00:00Z,216213.01,19529725.52
2018-03-07T00:00:00Z,254706.47,19582300.46
2018-03-08T00:00:00Z,352125.29,19641084.4
2018-03-09T00:00:00Z,349707.98,19682839.26
2018-03-12T00:00:00Z,349352.35,19717112.44
2018-03-13T00:00:00Z,339286.62,19736116.99
2018-03-14T00:00:00Z,332527.98,19743547.32
2018-03-15T00:00:00Z,325954.56,19751215.67
2018-03-16T00:00:00Z,319149.03,19780882.62
2018-03-19T00:00:00Z,289057.84,19799643.71
2018-03-20T00:00:00Z,289057.84,19778948.35
2018-03-21T00:00:00Z,253324.59,19809692.42
2018-03-22T00:00:00Z,249748.74,19778717.7
2018-03-23T00:00:00Z,235075.39,19798756.85
2018-03-26T00:00:00Z,221616.35,19824436.65
2018-03-27T00:00:00Z,221616.35,19820505.27
2018-03-28T00:00:00Z,291692.44,19934226.36
2018-03-29T00:00:00Z,213888.59,20015119.61
2018-03-31T00:00:00Z,213888.59,19764065.88
2018-04-02T00:00:00Z,189897.65,19756027.41
2018-04-03T00:00:00Z,189793.02,19746259.92
2018-04-04T00:00:00Z,177110.86,19761520
2018-04-05T00:00:00Z,283676.08,19767506.78
2018-04-06T00:00:00Z,274109.35,19814278.49
2018-04-09T00:00:00Z,292399.48,19833476.56
2018-04-10T00:00:00Z,290261.88,19817328.04
2018-04-11T00:00:00Z,279970.34,19829538.02
2018-04-12T00:00:00Z,271303.78,19864671.95
2018-04-13T00:00:00Z,271303.78,19864671.95
2018-04-16T00:00:00Z,264006.28,19922431.15
2018-04-17T00:00:00Z,264006.28,19938083.45
2018-04-18T00:00:00Z,259974.26,19978772.69
2018-04-19T00:00:00Z,245807.59,19997546.41
2018-04-20T00:00:00Z,245807.59,20004534.89
2018-04-23T00:00:00Z,245653.48,19982131.03
2018-04-24T00:00:00Z,245474.86,19968863.66
2018-04-25T00:00:00Z,314476.75,20050515.95
2018-04-26T00:00:00Z,312283.75,20071684.47
2018-04-27T00:00:00Z,303970.29,20113679.18
2018-04-30T00:00:00Z,300137.09,19856504.81
2018-05-02T00:00:00Z,295751.84,19852793.83
2018-05-03T00:00:00Z,293234.15,19850974.91
2018-05-04T00:00:00Z,291046.66,19850445.33
2018-05-07T00:00:00Z,399840.78,19866169.08
2018-05-08T00:00:00Z,380212.06,19851766.94
2018-05-09T00:00:00Z,367635.48,19871612.5
2018-05-10T00:00:00Z,367635.48,19872762.21
2018-05-11T00:00:00Z,281682.04,19844572.03
2018-05-14T00:00:00Z,277090.34,19842075.97
2018-05-15T00:00:00Z,274355.26,19838062.54
2018-05-16T00:00:00Z,250449.01,19877534.67
2018-05-17T00:00:00Z,242872.75,19884004.43
2018-05-18T00:00:00Z,234438.99,19899307.52
2018-05-21T00:00:00Z,203287.4,19860019.97
2018-05-22T00:00:00Z,198626.45,19803652.9
2018-05-23T00:00:00Z,198626.45,19832670.46
2018-05-24T00:00:00Z,185531.35,19855045.43
2018-05-28T00:00:00Z,202591.38,19882802.79
2018-05-29T00:00:00Z,202462.3,19914753.53
2018-05-30T00:00:00Z,190906.99,19920986.88
2018-05-31T00:00:00Z,179001.11,19670089.5
2018-06-01T00:00:00Z,156525.83,19667454.8
2018-06-04T00:00:00Z,156525.83,19723279.71
2018-06-05T00:00:00Z,346946.24,19754282.34
2018-06-06T00:00:00Z,346880.99,19790100.67
2018-06-07T00:00:00Z,343369.55,19839435.19
2018-06-08T00:00:00Z,342310.86,19870565.67
2018-06-11T00:00:00Z,333210.79,19896223.25
2018-06-12T00:00:00Z,310948.32,19893963.56
2018-06-13T00:00:00Z,284838.97,19960106.82
2018-06-14T00:00:00Z,283605.7,19998238.13
2018-06-15T00:00:00Z,283605.7,20029910.43
2018-06-18T00:00:00Z,263878.5,20059219.8
2018-06-19T00:00:00Z,247378.57,20065530.14
2018-06-20T00:00:00Z,247378.57,20064534.61
2018-06-21T00:00:00Z,243027.17,20077183.24
2018-06-22T00:00:00Z,243027.17,20170355.25
2018-06-25T00:00:00Z,271142.37,20208052.85
2018-06-26T00:00:00Z,271142.37,20202301.1
2018-06-27T00:00:00Z,271142.37,20222423.61
2018-06-28T00:00:00Z,249207.88,20231476.43
2018-06-29T00:00:00Z,215413.08,20268385.65
2018-06-30T00:00:00Z,215413.08,20014455.97
2018-07-02T00:00:00Z,187771.37,20038288.46
2018-07-03T00:00:00Z,187771.37,20039609.74
2018-07-04T00:00:00Z,185938.03,20085243.28
2018-07-05T00:00:00Z,213493.63,20087668.58
2018-07-06T00:00:00Z,281068.49,20179627.11
2018-07-09T00:00:00Z,274476.68,20192620.55
2018-07-10T00:00:00Z,271214.11,20215858.29
2018-07-11T00:00:00Z,271212.11,20260753.46
2018-07-12T00:00:00Z,264678.67,20252286.62
2018-07-13T00:00:00Z,264678.67,20301438.97
2018-07-16T00:00:00Z,252092.16,20342371.84
2018-07-17T00:00:00Z,252092.16,20341059.64
2018-07-18T00:00:00Z,244075.57,20395541.15
2018-07-19T00:00:00Z,244075.57,20422539.49
2018-07-20T00:00:00Z,235617.39,20457040.27
2018-07-23T00:00:00Z,235617.39,20443751.27
2018-07-24T00:00:00Z,235617.39,20467909.78
2018-07-25T00:00:00Z,235299.24,20502019.92
2018-07-26T00:00:00Z,258882.88,20559232.91
2018-07-27T00:00:00Z,243327.36,20642639.36
2018-07-30T00:00:00Z,225078.93,20640071.66
